Principio activo;Aptitud;Cultivos;Residuos (mg /Kg);Post Cosecha
BENTAZON;(Herbicida);Pera;0.2;
BENTAZON;(Herbicida);Poroto (grano consumo);0.1;
BENTAZON;(Herbicida);Soja (forraje);3;
BENTAZON;(Herbicida);Soja (grano consumo);0.05;
BENTAZON;(Herbicida);Sorgo (forraje);0.1;
BENTAZON;(Herbicida);Sorgo (grano consumo);0.05;
BENTAZON;(Herbicida);Céspedes;Exento;
BENZOATO DE EMAMECTINA;(Insecticida);Brócoli;0.1;
BENZOATO DE EMAMECTINA;(Insecticida);Coliflor;0.1;
BENZOATO DE EMAMECTINA;(Insecticida);Durazno ;0.1;
BENZOATO DE EMAMECTINA;(Insecticida);Girasol;0.01;
BENZOATO DE EMAMECTINA;(Insecticida);Maíz (grano consumo);0.01;
BENZOATO DE EMAMECTINA;(Insecticida);Maíz Dulce;0.01;
BENZOATO DE EMAMECTINA;(Insecticida);Manzana;0.05;
BENZOATO DE EMAMECTINA;(Insecticida);Pera;0.05;
BENZOATO DE EMAMECTINA;(Insecticida);Tomate ;0.02;
BENZOATO DE EMAMECTINA;(Insecticida);Soja;0.01;
BENZOATO DE EMAMECTINA;(Insecticida); Uva (vinificación);0.15;
BENZOATO DE EMAMECTINA;(Insecticida);Repollito de Bruselas;0.05;
BENZOVINDIFLUPIR;(Fungicida)  ;Arveja (grano consumo);0.01;
BENZOVINDIFLUPIR;(Fungicida)  ;Cebada;0.5;
BENZOVINDIFLUPIR;(Fungicida)  ;Garbanzo (Grano consumo);0.015;
BENZOVINDIFLUPIR;(Fungicida)  ;Maíz (grano consumo);0.006;
BENZOVINDIFLUPIR;(Fungicida)  ;Maní;0.006;
BENZOVINDIFLUPIR;(Fungicida)  ;Soja ;0.01;
BENZOVINDIFLUPIR;(Fungicida)  ;Trigo (grano consumo);0.09;
BETACIFLUTRIN;(Insecticida);Algodón (semilla consumo);1;
BETACIFLUTRIN;(Insecticida);Algodón (aceite);2;
BETACIFLUTRIN;(Insecticida);Berenjena;0.09;
BETACIFLUTRIN;(Insecticida);Brócoli;0.7;
BETACIFLUTRIN;(Insecticida);Coliflor;0.3;
BETACIFLUTRIN;(Insecticida);Lechuga;0.15;
BETACIFLUTRIN;(Insecticida);Maíz (grano consumo);0.05;
BETACIFLUTRIN;(Insecticida);Maíz Dulce;0.01;
BETACIFLUTRIN;(Insecticida);Melón;0.01;
BETACIFLUTRIN;(Insecticida);Pimiento;0.15;
BETACIFLUTRIN;(Insecticida);Girasol (Grano consumo);0.05;
BETACIFLUTRIN;(Insecticida);Repollo;0.3;
BETACIFLUTRIN;(Insecticida);Sandía;0.04;
BETACIFLUTRIN;(Insecticida);Soja (grano consumo);0.05;
BETACIFLUTRIN;(Insecticida);Tomate;0.08;
BETACIFLUTRIN;(Insecticida);Zapallo;0.01;
BETACIPERMETRINA;(Insecticida);Alfalfa (forraje);0.1;
BETACIPERMETRINA;(Insecticida);Algodón (aceite);0.2;
BETACIPERMETRINA;(Insecticida);Algodón (semilla consumo);0.1;
BETACIPERMETRINA;(Insecticida);Girasol (aceite);0.2;
BETACIPERMETRINA;(Insecticida);Girasol (Grano consumo);0.1;
BETACIPERMETRINA;(Insecticida);Soja (aceite);0.2;
BETACIPERMETRINA;(Insecticida);Soja (grano consumo);0.1;
BETACIPERMETRINA;(Insecticida);Trigo (grano consumo);0.2;
BETACIPERMETRINA;(Insecticida);Trigo (forraje seco);5;
BETACIPERMETRINA;(Insecticida);Lino (grano consumo);0.2;
BICICLOPIRONA;(Herbicida);Maíz (grano consumo);0.01;
BIFENAZATE;(Acaricida)  ;Manzana;1;
BIFENAZATE;(Acaricida)  ;Pera;1;
BIFENAZATE;(Acaricida)  ;Florales y ornamentales;Exento;
BIFENTRIN;(Insecticida);Acelga;3;
BIFENTRIN;(Insecticida);Achicoria;3;
BIFENTRIN;(Insecticida);Albahaca;2;
BIFENTRIN;(Insecticida);Berro;3;
BIFENTRIN;(Insecticida);Cilantro;2;
BIFENTRIN;(Insecticida);Durazno;1;
BIFENTRIN;(Insecticida);Eneldo;2;
BIFENTRIN;(Insecticida);Escarola;3;
BIFENTRIN;(Insecticida);Espinaca;3;
BIFENTRIN;(Insecticida);Frutilla;1;
BIFENTRIN;(Insecticida - Tratamiento de semillas);Girasol (Grano consumo);Exento;
BIFENTRIN;(Insecticida);Granada;0.05;
BIFENTRIN;(Insecticida);Maíz (grano consumo);Exento;
BIFENTRIN;(Insecticida);Manzana;0.5;
BIFENTRIN;(Insecticida);Lechuga;3;
BIFENTRIN;(Insecticida);Oregano;2;
BIFENTRIN;(Insecticida);Papa;0.05;
BIFENTRIN;(Insecticida);Pera;0.5;
BIFENTRIN;(Insecticida);Poroto (grano consumo);0.1;
BIFENTRIN;(Insecticida);Radicheta;3;
BIFENTRIN;(Insecticida);Rúcula;3;
BIFENTRIN;(Insecticida);Salvia;2;
BIFENTRIN;(Insecticida);Soja (grano consumo);0.025;
BIFENTRIN;(Insecticida);Tomate;0.05;
BIFENTRIN;(Insecticida);Florales y ornamentales;Exento;
BISPIRIBAC  SODICO;(Herbicida);Arroz (grano consumo)              ;0.05;
BISTRIFLURÓN ;(Insecticida);Soja (grano consumo);0.02;
BITERTANOL;(Fungicida)  ;Manzana ;1;
BITERTANOL;(Fungicida)  ;Banana (con cáscara);0.5;
BITERTANOL;(Fungicida)  ;Maní (sin cáscara);0.2;
BIXAFEN;(Fungicida)  ;Maní ;0.01;
BIXAFEN;(Fungicida)  ;Trigo (grano consumo);0.08;
BIXAFEN;(Fungicida)  ;Cebada (grano consumo);0.9;
BIXAFEN;(Fungicida)  ;Soja (grano consumo);0.01;
BOSCALID;(Fungicida)  ;Arveja (grano consumo);3;
BOSCALID;(Fungicida)  ;Cebolla;0.3;
BOSCALID;(Fungicida)  ;Maní (sin cáscara);0.05;
BOSCALID;(Fungicida)  ;Papa ;0.05;
BOSCALID;(Fungicida)  ;Durazno;1.7;
BOSCALID;(Fungicida)  ;     Uva (de mesa y vinificación)             ;3.5;
BOSCALID;(Fungicida)  ;Arándano;10;
BOSCALID;(Fungicida)  ;Frutilla;1.2;
BOSCALID;(Fungicida)  ;Radiccio;30;
BOSCALID;(Fungicida)  ;Pimiento;1.2;
BOSCALID;(Fungicida)  ;Tomate;1;
BOSCALID;(Funguicida);Poroto (grano consumo);0.1;
BOSCALID;(Funguicida);Manzana;2;
BOSCALID;(Funguicida);Pera;1.5;
BRODIFACOUM;(Rodenticida);Cuevas;Exento;
BROMACIL;(Herbicida);Cítricos en general;0.1;
BROMACIL;(Herbicida);Areas no cultivadas;Exento;
BROMADIOLONE;(Rodenticida);;Exento;
BROMOPROPILATO;(Acaricida)  ;Cereza;2;
BROMOPROPILATO;(Acaricida)  ;Ciruela;2;
BROMOPROPILATO;(Acaricida)  ;Damasco;2;
BROMOPROPILATO;(Acaricida)  ;Durazno;2;
BROMOPROPILATO;(Acaricida)  ;Cítricos en general;2;
BROMOPROPILATO;(Acaricida)  ;Cítricos en general (jugo);0.2;
BROMOPROPILATO;(Acaricida)  ;Guinda;2;
BROMOPROPILATO;(Acaricida)  ;Manzana;2;
BROMOPROPILATO;(Acaricida)  ;Pera;2;
BROMOPROPILATO;(Acaricida)  ;Uva (de mesa)             ;2;
BROMOXINIL;(Herbicida);Ajo (consumo);0.05;
BROMOXINIL;(Herbicida);Alfalfa (forraje);0.1;
BROMOXINIL;(Herbicida);Avena (grano consumo);0.1;
BROMOXINIL;(Herbicida);Caña de azúcar (tallo fresco);0.1;
BROMOXINIL;(Herbicida);Cebada (forraje);0.1;
BROMOXINIL;(Herbicida);Cebada (grano consumo);0.1;
BROMOXINIL;(Herbicida);Cebolla (consumo);0.05;
BROMOXINIL;(Herbicida);Centeno (forraje);0.1;
BROMOXINIL;(Herbicida);Centeno (grano consumo);0.1;
BROMOXINIL;(Herbicida);Lino (forraje seco);0.1;
BROMOXINIL;(Herbicida);Maíz (forraje);0.1;
BROMOXINIL;(Herbicida);Maíz (grano consumo);0.1;
BROMOXINIL;(Herbicida);Maíz (forraje seco);0.1;
BROMOXINIL;(Herbicida);Maíz dulce (grano consumo);0.05;
BROMOXINIL;(Herbicida);Maní (sin cáscara);0.1;
BROMOXINIL;(Herbicida);Praderas (naturales);0.1;
BROMOXINIL;(Herbicida);Pasturas consociadas (leguminosas y gramíneas);0.1;
BROMOXINIL;(Herbicida);Soja (grano consumo);0.1;
BROMOXINIL;(Herbicida);Sorgo (forraje);0.1;
BROMOXINIL;(Herbicida);Sorgo (grano consumo);0.1;
BROMOXINIL;(Herbicida);Trigo (grano consumo);0.1;
BROMOXINIL;(Herbicida);Uva (de mesa y vinificación);0.1;
BROMOXINIL;(Herbicida);Arboles;Exento;
BROMURO DE METILO;(Insecticida - Fungicida - Herbicida - Rodenticida - Gorgojicida - Nematicida);Tratamiento de suelos;Exento;
BROMURO DE METILO;(Insecticida - Fungicida - Herbicida - Rodenticida - Gorgojicida - Nematicida);Almendra;1;Po
BROMURO DE METILO;(Insecticida - Fungicida - Herbicida - Rodenticida - Gorgojicida - Nematicida);Arándano *;20;Po
BROMURO DE METILO;(Insecticida - Fungicida - Herbicida - Rodenticida - Gorgojicida - Nematicida);Cereales (productos de molienda);1;Po
BROMURO DE METILO;(Insecticida - Fungicida - Herbicida - Rodenticida - Gorgojicida - Nematicida);Granos de cereales almacenados;5;Po
BROMURO DE METILO;(Insecticida - Fungicida - Herbicida - Rodenticida - Gorgojicida - Nematicida);Chirimoya;1;Po
BROMURO DE METILO;(Insecticida - Fungicida - Herbicida - Rodenticida - Gorgojicida - Nematicida);Cítricos en general;30;Po
BROMURO DE METILO;(Insecticida - Fungicida - Herbicida - Rodenticida - Gorgojicida - Nematicida);Kiwi;30;Po
BROMURO DE METILO;(Insecticida - Fungicida - Herbicida - Rodenticida - Gorgojicida - Nematicida);Membrillo *;20;Po
BROMURO DE METILO;(Insecticida - Fungicida - Herbicida - Rodenticida - Gorgojicida - Nematicida);Palta;30;Po
BROMURO DE METILO;(Insecticida - Fungicida - Herbicida - Rodenticida - Gorgojicida - Nematicida);Pepino Dulce *;50;Po
BROMURO DE METILO;(Insecticida - Fungicida - Herbicida - Rodenticida - Gorgojicida - Nematicida);Pimiento *;30;Po
BROMURO DE METILO;(Insecticida - Fungicida - Herbicida - Rodenticida - Gorgojicida - Nematicida);Tomate;20;Po
BROMURO DE METILO;(Insecticida - Fungicida - Herbicida - Rodenticida - Gorgojicida - Nematicida);Tuna *;20;Po
BROMURO DE METILO;(Insecticida - Fungicida - Herbicida - Rodenticida - Gorgojicida - Nematicida);Uva (de mesa)             ;30;Po
BUPIRIMATO;(Fungicida)  ;Durazno;0.5;
BUPIRIMATO;(Fungicida)  ;Nectarín / Pelón;0.5;
BUPIRIMATO;(Fungicida)  ;Damasco;0.5;
BUPIRIMATO;(Fungicida)  ;Manzana;0.2;
BUPIRIMATO;(Fungicida)  ;Pera;0.2;
BUPIRIMATO;(Fungicida)  ;Melón;0.5;
BUPIRIMATO;(Fungicida)  ;Pepino;0.5;
BUPIRIMATO;(Fungicida)  ;Sandía;0.5;
BUPIRIMATO;(Fungicida)  ;Zapallo;0.5;
BUPIRIMATO;(Fungicida)  ;Rosales;Exento;
BUPROFEZIN;(Insecticida);Manzana;3;
BUPROFEZIN;(Insecticida);Florales y ornamentales;Exento;
BUPROFEZIN;(Insecticida);Naranja;0.05;
BUPROFEZIN;(Insecticida);Pera;0.5;
BUPROFEZIN;(Insecticida);Tomate;0.3;
BUPROFEZIN;(Insecticida);Uva (de mesa y vinificación);1;
BUTAFENACIL;(Herbicida Desecante);Algodón (aceite);0.02;
BUTAFENACIL;(Herbicida Desecante);Algodón (semilla consumo);0.02;
BUTRALIN;(Fitorregulador - Herbicida);Ajo (consumo);0.02;
BUTRALIN;(Fitorregulador - Herbicida);Cebolla (consumo);0.02;
BUTRALIN;(Fitorregulador - Herbicida);Tabaco ;Exento;
CAOLIN ;(Antiescaldante);;Exento;
CAOLINITA;(Antiescaldante);;Exento;
CAPTAN;(Fungicida - Tratamiento de semillas);;Exento;
CAPTAN;(Fungicida);Almendra;15;
CAPTAN;(Fungicida);Apio;15;
CAPTAN;(Fungicida);Batata;10;
CAPTAN;(Fungicida);Berenjena;15;
CAPTAN;(Fungicida);Cebolla (consumo);15;
CAPTAN;(Fungicida);Cereza;15;
CAPTAN;(Fungicida);Ciruela;15;
CAPTAN;(Fungicida);Cítricos en general;15;
CAPTAN;(Fungicida);Damasco;15;
CAPTAN;(Fungicida);Durazno;15;
CAPTAN;(Fungicida);Frutilla;15;
CAPTAN;(Fungicida);Manzana;3;Po
CAPTAN;(Fungicida);Manzana;15;
CAPTAN;(Fungicida);Melón;15;
CAPTAN;(Fungicida);Papa;10;
CAPTAN;(Fungicida);Pepino;15;
CAPTAN;(Fungicida);Pera;3;Po
CAPTAN;(Fungicida);Pera;15;
CAPTAN;(Fungicida);Perejil;15;
CAPTAN;(Fungicida);Pimiento;15;
CAPTAN;(Fungicida);Sandía;15;
CAPTAN;(Fungicida);Tomate;15;
CAPTAN;(Fungicida);Tabaco;Exento;
CAPTAN;(Fungicida);Uva (de mesa);15;
CAPTAN;(Fungicida); Uva (vinificación);15;
CAPTAN;(Fungicida);Zapallo;15;
CAPTAN;(Fungicida);Florales y ornamentales;Exento;
CARBARIL;(Insecticida);Aceituna (fresca);3;
CARBARIL;(Insecticida);Acelga;3;
CARBARIL;(Insecticida);Alfalfa (forraje);100;
CARBARIL;(Insecticida);Algodón (semilla consumo);1;
CARBARIL;(Insecticida);Apio;3;
CARBARIL;(Insecticida);Arveja (grano consumo);3;
CARBARIL;(Insecticida);Avena (forraje verde/seco);100;
CARBARIL;(Insecticida);Avena (grano consumo);0.1;
CARBARIL;(Insecticida);Batata;0.2;
CARBARIL;(Insecticida);Cebada (forraje verde/seco);100;
CARBARIL;(Insecticida);Cebada (grano consumo);0.1;
CARBARIL;(Insecticida);Centeno (forraje verde/seco);100;
CARBARIL;(Insecticida);Centeno (grano consumo);0.1;
CARBARIL;(Insecticida);Chaucha;3;
CARBARIL;(Insecticida);Cereza;3;
CARBARIL;(Insecticida);Ciruela;3;
CARBARIL;(Insecticida);Damasco;3;
CARBARIL;(Insecticida);Durazno;3;
CARBARIL;(Insecticida);Espinaca;3;
CARBARIL;(Insecticida);Cítricos en general;3;
CARBARIL;(Insecticida);Girasol (Grano consumo);1;
CARBARIL;(Insecticida);Guinda;3;
CARBARIL;(Insecticida);Henos de cereales;100;
CARBARIL;(Insecticida);Lechuga;3;
CARBARIL;(Insecticida);Maíz (forraje verde/seco);100;
CARBARIL;(Insecticida);Maíz dulce (grano consumo);1;
CARBARIL;(Insecticida);Manzana;2;
CARBARIL;(Insecticida);Nuez;1;
CARBARIL;(Insecticida);Papa;0.2;
CARBARIL;(Insecticida);Pepino;3;
CARBARIL;(Insecticida);Pera;2;
CARBARIL;(Insecticida);Pimiento;3;
CARBARIL;(Insecticida);Poroto (forraje);100;
CARBARIL;(Insecticida);Poroto (grano consumo);3;
CARBARIL;(Insecticida);Remolacha (raíz);0.2;
CARBARIL;(Insecticida);Repollo;3;
CARBARIL;(Insecticida);Repollito de Bruselas;3;
CARBARIL;(Insecticida);Soja (forraje);100;
CARBARIL;(Insecticida);Sorgo (grano consumo);1;
CARBARIL;(Insecticida);Sorgo (forraje verde/seco);100;
CARBARIL;(Insecticida);Tabaco ;Exento;
CARBARIL;(Insecticida);Tomate;3;
CARBARIL;(Insecticida);Trigo (forraje verde/seco);100;
CARBARIL;(Insecticida);Trigo (grano consumo);0.1;
CARBARIL;(Insecticida);Zapallo;3;
CARBARIL;(Insecticida);Zanahoria;0.2;
CARBARIL;(Insecticida);Cultivos forestales ;exento;
CARBENDAZIM;(Funguicida);Aceituna (fresca);0.5;
CARBENDAZIM;(Funguicida);Acelga;10;
CARBENDAZIM;(Funguicida);Achicoria;10;
CARBENDAZIM;(Funguicida);Ajo (consumo);1;
CARBENDAZIM;(Funguicida);Alcaucil;0.5;
CARBENDAZIM;(Funguicida);Ananá;0.5;
CARBENDAZIM;(Funguicida);Ananá;0.5;Po
CARBENDAZIM;(Funguicida);Apio;0.2;
CARBENDAZIM;(Funguicida);Arveja (grano consumo);1;
CARBENDAZIM;(Funguicida);Arroz (grano consumo);0.1;
CARBENDAZIM;(Funguicida);Berro;10;
CARBENDAZIM;(Funguicida);Banana (con cáscara);1;
CARBENDAZIM;(Funguicida);Banana (sin cáscara);0.2;
CARBENDAZIM;(Funguicida);Berenjena;0.5;
CARBENDAZIM;(Funguicida);Caña de azúcar (tallo fresco);0.1;
CARBENDAZIM;(Funguicida);Cebolla (bulbo seco);1;
CARBENDAZIM;(Funguicida);Durazno;1;
CARBENDAZIM;(Funguicida);Endivia;0.1;
CARBENDAZIM;(Funguicida);Espárrago (para propagación);0.1;
CARBENDAZIM;(Funguicida);Espinaca;10;
CARBENDAZIM;(Funguicida);Frambuesa;5;
CARBENDAZIM;(Funguicida);Frutilla;2;
CARBENDAZIM;(Funguicida);Cítricos en general ;5;
CARBENDAZIM;(Fungicida);Cítricos en general ;5;Po
CARBENDAZIM;(Funguicida);Cítricos en general (sin cáscara);1;
CARBENDAZIM;(Funguicida);Granada;0.1;
CARBENDAZIM;(Funguicida);Grosella;5;
CARBENDAZIM;(Funguicida);Lechuga;10;
CARBENDAZIM;(Funguicida);Lúpulo (seco);50;
CARBENDAZIM;(Funguicida);Maní (sin cáscara);0.1;
CARBENDAZIM;(Funguicida);Manzana;1;
CARBENDAZIM;(Funguicida);Manzana;1;Po
CARBENDAZIM;(Funguicida);Melón;0.5;
CARBENDAZIM;(Funguicida);Palta;0.5;
CARBENDAZIM;(Funguicida);Papa;1;Po
CARBENDAZIM;(Funguicida);Pepino;0.5;
CARBENDAZIM;(Funguicida);Pera;1;
CARBENDAZIM;(Funguicida);Pera;1;Po
CARBENDAZIM;(Funguicida);Perejil;14;
CARBENDAZIM;(Funguicida);Pimiento;0.1;
CARBENDAZIM;(Funguicida);Poroto (grano consumo);0.2;
CARBENDAZIM;(Funguicida);Radiccio;0.1;
CARBENDAZIM;(Funguicida);Remolacha;1;
CARBENDAZIM;(Funguicida);Repollito de Bruselas;1;
CARBENDAZIM;(Funguicida);Repollo;1;
CARBENDAZIM;(Funguicida);Rúcula;10;
CARBENDAZIM;(Funguicida);Soja (grano consumo);0.2;
CARBENDAZIM;(Funguicida);Tomate;1;
CARBENDAZIM;(Funguicida);Trigo (forraje);5;
CARBENDAZIM;(Funguicida);Trigo (grano consumo);0.1;
CARBENDAZIM;(Funguicida);Uva (de mesa)             ;3;
CARBENDAZIM;(Funguicida);Zapallito de tronco;0.5;
CARBENDAZIM;(Funguicida);Zapallo;0.5;
CARBENDAZIM;(Funguicida);Zarzamora;5;
CARBENDAZIM;(Funguicida);Florales y ornamentales;exento;
CARBENDAZIM;(Fungicida);Radicheta;10;
CARBOFURAN;(Insecticida - Nematicida);Ajo (consumo);0.1;
CARBOFURAN;(Insecticida - Nematicida);Arroz (grano sin cáscara);0.2;
CARBOFURAN;(Insecticida - Nematicida);Banana (con cáscara);0.1;
CARBOFURAN;(Insecticida - Nematicida);Cereza;0.05;
CARBOFURAN;(Insecticida - Nematicida);Ciruela;0.05;
CARBOFURAN;(Insecticida - Nematicida);Durazno;0.05;
CARBOFURAN;(Insecticida - Nematicida);Guinda;0.05;
CARBOFURAN;(Insecticida - Nematicida);Maíz (forraje seco);5;
CARBOFURAN;(Insecticida - Nematicida);Maíz (grano consumo);0.1;
CARBOFURAN;(Insecticida - Nematicida);Maíz dulce (grano consumo);0.1;
CARBOFURAN;(Insecticida - Nematicida);Papa;0.5;
CARBOFURAN;(Insecticida - Nematicida);Poroto (grano consumo);0.1;
CARBOFURAN;(Insecticida - Nematicida);Soja (grano consumo);0.1;
CARBOFURAN;(Insecticida - Nematicida);Sorgo (grano consumo);0.1;
CARBOFURAN;(Insecticida - Nematicida);Tomate;0.1;
CARBOFURAN;(Insecticida - Nematicida);Tabaco ;Exento;
CARBONATO BASICO DE CU;(Preservador de madera);;Exento;
CARBOSULFAN;(Tratamiento de semillas);Algodón (semilla consumo);0.05;
CARBOSULFAN;(Insecticida);Cítricos en general;0.1;
CARBOSULFAN;(Insecticida);Aceituna (fresca);0.05;
CARBOSULFAN;(Insecticida);Olivo;0.05;
CARBOSULFAN;(Insecticida);Papa;0.01;
CARBOSULFAN;(Insecticida);Pera;0.05;
CARBOSULFAN;(Insecticida);Soja;0.02;
CARBOXIN;(Tratamiento de semillas);;Exento;
CARBOXIN;(Tratamiento de semillas);Cebadilla criolla ;Exento;
CARFENTRAZONE ETIL;(Herbicida);;Exento;
CARFENTRAZONE ETIL;(Herbicida - Defoliante - Desecante);Algodón;0.1;
CARFENTRAZONE ETIL;(Herbicida - Defoliante - Desecante);Girasol (Grano consumo);0.02;
CARFENTRAZONE ETIL;(Herbicida - Defoliante - Desecante);Girasol (aceite);0.05;
CARTAP;(Insecticida);Apio;0.2;
CARTAP;(Insecticida);Chaucha;0.2;
CARTAP;(Insecticida);Melón;0.2;
CARTAP;(Insecticida);Papa;0.1;
CARTAP;(Insecticida);Sandía;0.2;
CARTAP;(Insecticida);Tomate;0.01;
CARTAP;(Insecticida);Florales y ornamentales;Exento;
CIALOFOP BUTIL;(Herbicida);Arroz (grano consumo);0.01;
CIANAMIDA HIDROGENADA;(Fitorregulador);Uva (de mesa y vinificación);Exento ;
CIPERMETRINA;(Insecticida);Cítricos en general;2;
CIPERMETRINA  ; (Insecticida);Algodón (semilla consumo);0.1;
CIPERMETRINA  ; (Insecticida);Ajo (consumo);0.1;
CIPERMETRINA  ; (Insecticida);Alfalfa (forraje);5;
CIPERMETRINA  ; (Insecticida);Algodón (aceite);0.2;
CIPERMETRINA  ; (Insecticida);Almendra;0.5;
CIPERMETRINA  ; (Insecticida);Arveja (grano consumo);0.05;
CIPERMETRINA  ; (Insecticida);Cebolla (consumo);0.1;
CIPERMETRINA  ; (Insecticida);Cereza;1;
CIPERMETRINA  ; (Insecticida);Ciruela (pasa);1;
CIPERMETRINA  ; (Insecticida);Damasco;1;
CIPERMETRINA  ; (Insecticida);Durazno;1;
CIPERMETRINA  ; (Insecticida);Girasol (aceite);0.2;
CIPERMETRINA  ; (Insecticida);Girasol (Grano consumo);0.1;
CIPERMETRINA  ; (Insecticida);Guinda;1;
CIPERMETRINA  ; (Insecticida);Lino (grano consumo);0.2;
CIPERMETRINA  ; (Insecticida);Maíz (grano consumo);0.1;
CIPERMETRINA  ; (Insecticida);Maíz dulce (grano consumo);0.1;
CIPERMETRINA  ; (Insecticida);Manzana;1;
CIPERMETRINA  ; (Insecticida);Membrillo;1;
CIPERMETRINA  ; (Insecticida);Pasturas consociadas (leguminosas y gramíneas);5;
CIPERMETRINA  ; (Insecticida);Nectarín / Pelón;1;
CIPERMETRINA  ; (Insecticida);Pera;1;
CIPERMETRINA  ; (Insecticida);Soja (aceite);0.2;
CIPERMETRINA  ; (Insecticida);Soja (grano consumo);0.1;
CIPERMETRINA  ; (Insecticida);Sorgo (forraje);5;
CIPERMETRINA  ; (Insecticida);Sorgo (grano consumo);0.1;
CIPERMETRINA  ; (Insecticida);Tomate;1;
CIPERMETRINA  ; (Insecticida);Trigo (heno);5;
CIPERMETRINA  ; (Insecticida);Trigo (forraje);5;
CIPERMETRINA  ; (Insecticida);Trigo (grano consumo);0.2;
CIPERMETRINA  ; (Insecticida);Florales y ornamentales;Exento;
CLETODIM;(Herbicida);Algodón (semilla consumo);0.5;
CLETODIM;(Herbicida);Alfalfa (forraje);0.1;
CLETODIM;(Herbicida);Cebolla (consumo);0.05;
CLETODIM;(Herbicida);Girasol (aceite);0.2;
CLETODIM;(Herbicida);Girasol (Grano consumo);0.05;
CLETODIM;(Herbicida);Maní (sin cáscara);0.5;
CLETODIM;(Herbicida);Papa;0.05;
CLETODIM;(Herbicida);Poroto (grano consumo);0.5;
CLETODIM;(Herbicida);Soja (grano consumo);0.5;
CLODINAFOP  PROPARGIL;(Herbicida);Trigo (grano consumo);0.05;
CLODINAFOP  PROPARGIL;(Herbicida);Trigo (forraje);0.05;
CLOFENTEZINE;(Acaricida)  ;Acelga;10;
CLOFENTEZINE;(Acaricida)  ;Escarola;10;
CLOFENTEZINE;(Acaricida)  ;Espinaca;10;
CLOFENTEZINE;(Acaricida)  ;Manzana;0.5;
CLOFENTEZINE;(Acaricida)  ;Pera;0.5;
CLOFENTEZINE;(Acaricida)  ;Florales y ornamentales;Exento;
CLOMAZONE;(Herbicida);Arroz (grano consumo);0.1;
CLOMAZONE;(Herbicida);Caña de azúcar (tallo fresco);0.05;
CLOMAZONE;(Herbicida);Maní (sin cáscara);0.05;
CLOMAZONE;(Herbicida);Papa;0.05;
CLOMAZONE;(Herbicida);Soja (grano consumo);0.05;
CLOMAZONE;(Herbicida);Tabaco ;Exento;
CLOMAZONE;(Herbicida);Zapallo;0.05;
CLOPIRALID;(Herbicida);Alpiste (grano consumo);1;
CLOPIRALID;(Herbicida);Avena (grano consumo);1;
CLOPIRALID;(Herbicida);Avena (forraje);1;
CLOPIRALID;(Herbicida);Cebada (grano consumo);1;
CLOPIRALID;(Herbicida);Cebada (forraje);1;
CLOPIRALID;(Herbicida);Centeno (forraje);1;
CLOPIRALID;(Herbicida);Centeno (grano consumo);1;
CLOPIRALID;(Herbicida);Maíz (forraje);1;
CLOPIRALID;(Herbicida);Maíz (grano consumo);0.1;
CLOPIRALID;(Herbicida);Pasturas de gramineas naturales e implantadas;30;
CLOPIRALID;(Herbicida);Sorgo (forraje);1;
CLOPIRALID;(Herbicida);Sorgo (grano consumo);0.1;
CLOPIRALID;(Herbicida);Trigo (forraje);1;
CLOPIRALID;(Herbicida);Trigo (grano consumo);1;
CLOQUINTOCET MEXYL;(Herbicida);Trigo (grano consumo);0.05;
CLOQUINTOCET MEXYL;(Herbicida);Trigo (forraje);0.05;
CLORANSULAM  METIL;(Herbicida);Algodón (semilla consumo);0.01;
CLORANSULAM  METIL;(Herbicida);Soja (grano consumo);0.01;
CLORANTRANILIPROLE;(Insecticida - Acaricida);Algodón (semilla consumo);0.3;
CLORANTRANILIPROLE;(Insecticida - Acaricida);Arveja;0.01;
CLORANTRANILIPROLE;(Insecticida - Acaricida);Colza (grano consumo);0.1;
CLORANTRANILIPROLE;(Insecticida - Acaricida);Durazno;0.5;
CLORANTRANILIPROLE;(Insecticida - Acaricida);Girasol (Grano consumo);0.01;
CLORANTRANILIPROLE;(Insecticida - Acaricida);Manzana;0.3;
CLORANTRANILIPROLE;(Insecticida - Acaricida);Maíz (grano consumo);0.01;
CLORANTRANILIPROLE;(Insecticida - Acaricida);Maní;0.01;
CLORANTRANILIPROLE;(Insecticida - Acaricida);Pera;0.3;
CLORANTRANILIPROLE;(Insecticida - Acaricida);Poroto;0.01;
CLORANTRANILIPROLE;(Insecticida - Acaricida);Soja (grano consumo);0.2;
CLORANTRANILIPROLE;(Insecticida - Acaricida);Tomate;0.3;
CLORANTRANILIPROLE;(Insecticida - Acaricida); Uva (vinificación);1;
CLORANTRANILIPROLE;(Insecticida - Acaricida);Uva (de mesa);1;
CLORFENAPIR;(Acaricida - Insecticida);Algodón (semilla consumo);0.5;
CLORFENAPIR;(Acaricida - Insecticida);Soja;0.05;
CLORFENAPIR;(Acaricida - Insecticida);Tomate;0.1;
CLORFLUAZURON;(Insecticida);Algodón (semilla consumo);0.05;
CLORFLUAZURON;(Insecticida);Maíz (grano consumo);0.01;
CLORFLUAZURON;(Insecticida);Soja (grano consumo);0.01;
CLORFLUAZURON;(Insecticida);Tomate;0.1;
CLORIDAZON / PIRAZON;(Herbicida);Acelga;0.1;
CLORIDAZON / PIRAZON;(Herbicida);Espinaca;0.1;
